class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
0,50,55,0.8727272727272727,0.96,0.9142857142857144,0.9820176176176176,0.9200295035349301
1,50,53,0.9056603773584906,0.96,0.9320388349514563,0.9827013013013013,0.8707402158500216
2,50,100,0.43,0.86,0.5733333333333333,0.9922236236236236,0.3998362082704693
3,50,0,0.0,0.0,0.0,0.9989275275275274,0.3197367588932806
4,50,61,0.5081967213114754,0.62,0.5585585585585586,0.998863063063063,0.4157037036425224
5,50,53,0.7547169811320755,0.8,0.7766990291262137,0.9966798798798799,0.6627054425913714
6,50,36,0.8611111111111112,0.62,0.7209302325581396,0.998973973973974,0.681608400378318
7,50,93,0.4731182795698925,0.88,0.6153846153846154,0.9588206206206205,0.42685854328118406
8,50,0,0.0,0.0,0.0,0.9994354354354354,0.5039298694137403
9,50,50,0.98,0.98,0.98,0.9999551551551552,0.9668935064935065
10,50,49,0.9183673469387755,0.9,0.9090909090909091,0.9994592592592593,0.8462190929847366
11,50,98,0.4897959183673469,0.96,0.6486486486486486,0.9994338338338338,0.4813956351771478
12,50,0,0.0,0.0,0.0,0.997812012012012,0.42897425920354415
13,50,53,0.9433962264150944,1.0,0.970873786407767,0.99996996996997,0.9433962264150944
14,50,56,0.8392857142857143,0.94,0.8867924528301886,0.999787987987988,0.8049561741888475
15,50,99,0.5050505050505051,1.0,0.6711409395973155,0.9995095095095096,0.5050505050505051
16,50,56,0.8392857142857143,0.94,0.8867924528301886,0.9996004004004004,0.7994876655545445
17,50,0,0.0,0.0,0.0,0.9988444444444444,0.36992547193034503
18,50,52,0.8653846153846154,0.9,0.8823529411764707,0.9995473473473473,0.8046102149636889
19,50,81,0.5802469135802469,0.94,0.717557251908397,0.9996074074074073,0.5673299089844102
20,50,63,0.1746031746031746,0.22,0.19469026548672566,0.998077077077077,0.3417653273524517
21,50,60,0.7833333333333333,0.94,0.8545454545454546,0.9992038038038038,0.7451552932922685
22,50,0,0.0,0.0,0.0,0.9993323323323322,0.4344244482173175
23,50,51,0.9215686274509803,0.94,0.9306930693069307,0.9995031031031031,0.8808538006864609
24,50,95,0.5157894736842106,0.98,0.6758620689655174,0.9994740740740742,0.5094897484675546
25,50,88,0.5227272727272727,0.92,0.6666666666666666,0.9976960960960961,0.5007321447321448
26,50,47,0.5106382978723404,0.48,0.49484536082474223,0.9803715715715716,0.4004966041954473
27,50,40,0.9,0.72,0.7999999999999999,0.9976496496496496,0.7547089263759584
28,50,0,0.0,0.0,0.0,0.9880586586586587,0.36466162042127875
29,50,78,0.6153846153846154,0.96,0.7500000000000001,0.9995417417417418,0.761036391709889
30,50,0,0.0,0.0,0.0,0.9738338338338338,0.31458509517718375
31,50,99,0.45454545454545453,0.9,0.6040268456375839,0.9993683683683684,0.4445519019987105
32,50,42,0.5952380952380952,0.5,0.5434782608695652,0.9668156156156156,0.43189038982295846
33,50,46,0.782608695652174,0.72,0.7499999999999999,0.9995745745745745,0.6910724095740578
34,50,50,0.74,0.74,0.74,0.9845755755755756,0.6207149340220596
35,50,0,0.0,0.0,0.0,0.9846740740740741,0.2956717808179574
