class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
0,1000,980,0.9795918367346939,0.96,0.9696969696969697,0.9979107107107107,0.9493495142029257
1,1000,1000,0.96,0.96,0.96,0.9806620620620621,0.9255096383597774
2,1000,880,0.9090909090909091,0.8,0.8510638297872342,0.9949399399399399,0.8131488103986292
3,1000,900,0.6444444444444445,0.58,0.6105263157894737,0.9994372372372372,0.5403623545318461
4,1000,1460,0.4931506849315068,0.72,0.5853658536585366,0.9991711711711712,0.46688784923913595
5,1000,320,0.1875,0.06,0.09090909090909091,0.9674476476476476,0.41103109179620484
6,1000,1600,0.525,0.84,0.6461538461538462,0.9986922922922923,0.47544934531952054
7,1000,520,0.8461538461538461,0.44,0.5789473684210525,0.9578996996996998,0.6534770062733446
8,1000,1420,0.6197183098591549,0.88,0.7272727272727273,0.997552952952953,0.6869647583820063
9,1000,980,0.9795918367346939,0.96,0.9696969696969697,0.9999627627627627,0.957357315807679
10,1000,1020,0.9215686274509803,0.94,0.9306930693069307,0.9998974974974975,0.885755029284441
11,1000,2060,0.46601941747572817,0.96,0.6274509803921569,0.9992978978978979,0.4557091029143666
12,1000,300,0.13333333333333333,0.04,0.061538461538461535,0.9991993993993995,0.44711949539272294
13,1000,980,1.0,0.98,0.98989898989899,0.9999439439439439,0.984149377593361
14,1000,920,1.0,0.92,0.9583333333333334,0.9999183183183183,0.9616794914687187
15,1000,980,0.9795918367346939,0.96,0.9696969696969697,0.9999661661661662,0.9641952395364926
16,1000,1040,0.8461538461538461,0.88,0.8627450980392156,0.993401001001001,0.7818524354306471
17,1000,920,1.0,0.92,0.9583333333333334,0.9990016016016016,0.9355709335331348
18,1000,940,0.9361702127659575,0.88,0.9072164948453608,0.9819649649649649,0.8607373379536408
19,1000,980,1.0,0.98,0.98989898989899,0.9999641641641641,0.9860606060606061
20,1000,920,0.9565217391304348,0.88,0.9166666666666666,0.9990974974974974,0.8939940467147283
21,1000,1200,0.8166666666666667,0.98,0.890909090909091,0.9999065065065066,0.884472688623399
22,1000,1020,0.9607843137254902,0.98,0.9702970297029702,0.9999589589589589,0.9505776364599894
23,1000,1040,0.9038461538461539,0.94,0.9215686274509804,0.9995993993993995,0.8684471581907138
24,1000,1000,1.0,1.0,1.0,1.0,1.0
25,1000,980,0.9387755102040817,0.92,0.9292929292929293,0.9904624624624625,0.8829093073352909
26,1000,1260,0.5555555555555556,0.7,0.6194690265486726,0.9810838838838838,0.46440910289253473
27,1000,1680,0.44047619047619047,0.74,0.5522388059701493,0.9860014014014014,0.3945039516339242
