class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
0,1000,1540,0.6233766233766234,0.96,0.7559055118110236,0.9929361361361362,0.6050337153043036
1,1000,1100,0.8727272727272727,0.96,0.9142857142857144,0.9995267267267267,0.8472701535067562
2,1000,1280,0.640625,0.82,0.7192982456140351,0.9902548548548549,0.5740638165646832
3,1000,0,0.0,0.0,0.0,0.9988810810810811,0.30934622414174456
4,1000,1980,0.47474747474747475,0.94,0.6308724832214765,0.9987255255255255,0.44148151126526974
5,1000,1060,0.6981132075471698,0.74,0.7184466019417476,0.9965363363363363,0.5902700119844704
6,1000,700,0.8571428571428571,0.6,0.7058823529411764,0.998692892892893,0.6665039804043889
7,1000,840,0.8571428571428571,0.72,0.782608695652174,0.9630790790790791,0.6907308605213625
8,1000,1100,0.7818181818181819,0.86,0.819047619047619,0.9996788788788789,0.7352863405301051
9,1000,1140,0.8421052631578947,0.96,0.8971962616822429,0.999822022022022,0.8189713670969876
10,1000,1040,0.9038461538461539,0.94,0.9215686274509804,0.9997061061061061,0.8606228297996253
11,1000,1020,0.9411764705882353,0.96,0.9504950495049505,0.9999487487487488,0.9229468874928611
12,1000,1080,0.9259259259259259,1.0,0.9615384615384615,0.99995995995996,0.9259259259259259
13,1000,1020,0.9607843137254902,0.98,0.9702970297029702,0.999968968968969,0.9510924369747898
14,1000,1080,0.8703703703703703,0.94,0.9038461538461539,0.9998644644644645,0.8410327238243819
15,1000,1020,0.9607843137254902,0.98,0.9702970297029702,0.9999455455455456,0.9478186274509803
16,1000,2000,0.46,0.92,0.6133333333333333,0.9991177177177177,0.437961500033102
17,1000,0,0.0,0.0,0.0,0.9957611611611612,0.3801495583913553
18,1000,1000,0.88,0.88,0.88,0.9908726726726726,0.7979840616066272
19,1000,1720,0.5697674418604651,0.98,0.7205882352941176,0.9994538538538538,0.5601674251597011
20,1000,860,1.0,0.86,0.924731182795699,0.9991427427427427,0.8888175683660651
21,1000,2160,0.4537037037037037,0.98,0.6202531645569621,0.9993547547547548,0.4484610472541507
22,1000,160,0.125,0.02,0.03448275862068966,0.9992684684684685,0.4301956014999494
23,1000,0,0.0,0.0,0.0,0.9991385385385385,0.3886167572628526
24,1000,1820,0.5274725274725275,0.96,0.6808510638297873,0.9798704704704704,0.508410527980501
25,1000,3440,0.27906976744186046,0.96,0.43243243243243235,0.9973925925925926,0.27054170448908293
26,1000,0,0.0,0.0,0.0,0.9790798798798799,0.20807813776728498
27,1000,0,0.0,0.0,0.0,0.9960222222222223,0.20146625981434335
28,1000,0,0.0,0.0,0.0,0.9975413413413414,0.22923282149915375
29,1000,1180,0.7627118644067796,0.9,0.8256880733944953,0.9988600600600601,0.6997880705541928
30,1000,1620,0.5308641975308642,0.86,0.6564885496183206,0.9705187187187188,0.4787600051545316
31,1000,1240,0.7580645161290323,0.94,0.8392857142857143,0.9997939939939939,0.7335596661403113
32,1000,0,0.0,0.0,0.0,0.9798264264264264,0.34145289553945213
33,1000,880,0.7727272727272727,0.68,0.7234042553191491,0.9993243243243244,0.6635898691176375
34,1000,1040,0.7307692307692307,0.76,0.7450980392156863,0.9986854854854855,0.626412371930727
35,1000,0,0.0,0.0,0.0,0.9984970970970971,0.3004732143175973
36,1000,1380,0.43478260869565216,0.6,0.5042016806722689,0.9992052052052052,0.3933198963432191
37,1000,1640,0.4146341463414634,0.68,0.5151515151515151,0.9860134134134135,0.3793324070380526
38,1000,940,0.9148936170212766,0.86,0.8865979381443299,0.9442794794794794,0.7984855683779294
39,1000,960,0.6875,0.66,0.673469387755102,0.9820520520520521,0.5361093978932108
40,1000,1840,0.5,0.92,0.647887323943662,0.9993753753753754,0.47949435412327396
41,1000,0,0.0,0.0,0.0,0.9982836836836836,0.36153901193338217
42,1000,1100,0.6,0.66,0.6285714285714286,0.979776976976977,0.4627740454505249
43,1000,0,0.0,0.0,0.0,0.986080880880881,0.19979685030188693
44,1000,2120,0.3584905660377358,0.76,0.48717948717948717,0.9827399399399399,0.29223507974055735
45,1000,800,0.95,0.76,0.8444444444444444,0.969154954954955,0.7594527177359551
46,1000,0,0.0,0.0,0.0,0.9808524524524523,0.2784033754063919
47,1000,1640,0.43902439024390244,0.72,0.5454545454545455,0.9985777777777778,0.38917452208582953
48,1000,1440,0.6666666666666666,0.96,0.7868852459016393,0.9995907907907908,0.6502456687456687
