class_id,support,predicted,precision,recall,f1,roc_auc,average_precision
33,50,45,0.7333333333333333,0.66,0.6947368421052631,0.999352952952953,0.6249071405783638
34,50,49,0.7142857142857143,0.7,0.7070707070707072,0.9934436436436437,0.5901133410159146
35,50,0,0.0,0.0,0.0,0.9953687687687687,0.2934034368393833
36,50,82,0.3780487804878049,0.62,0.46969696969696967,0.9990704704704705,0.35396082407603424
37,50,72,0.4027777777777778,0.58,0.47540983606557374,0.9990500500500501,0.36383369089121304
38,50,43,0.9767441860465116,0.84,0.9032258064516129,0.9754386386386387,0.856250563006737
39,50,45,0.7333333333333333,0.66,0.6947368421052631,0.9810006006006007,0.5938381687994668
40,50,72,0.5138888888888888,0.74,0.6065573770491802,0.9993753753753754,0.4706582581377166
41,50,70,0.37142857142857144,0.52,0.43333333333333335,0.9988412412412413,0.35933233255061675
42,50,25,0.88,0.44,0.5866666666666667,0.998965965965966,0.5597330055975615
43,50,72,0.5138888888888888,0.74,0.6065573770491802,0.9988200200200201,0.5204304761263723
44,50,47,0.48936170212765956,0.46,0.4742268041237113,0.995185985985986,0.347321024009017
45,50,40,1.0,0.8,0.888888888888889,0.9962148148148148,0.8464954574692785
46,50,40,0.275,0.22,0.24444444444444446,0.9895771771771771,0.26952267108258493
47,50,48,0.8958333333333334,0.86,0.8775510204081632,0.9983337337337338,0.7874916249122924
48,50,52,0.9230769230769231,0.96,0.9411764705882353,0.9994114114114114,0.8933824648162348
49,50,94,0.4787234042553192,0.9,0.6250000000000001,0.9990414414414415,0.45006406111953046
50,50,0,0.0,0.0,0.0,0.9980638638638639,0.4834360074954565
51,50,88,0.5340909090909091,0.94,0.681159420289855,0.9947701701701701,0.9441079204955848
52,50,68,0.2647058823529412,0.36,0.30508474576271183,0.9870388388388388,0.26237361534416387
53,50,78,0.44871794871794873,0.7,0.546875,0.9990674674674676,0.3936457142152888
54,50,0,0.0,0.0,0.0,0.9966624624624625,0.176311005417764
55,50,72,0.4027777777777778,0.58,0.47540983606557374,0.9839727727727727,0.35326139835072023
56,50,118,0.3305084745762712,0.78,0.46428571428571425,0.9978982982982982,0.29736762923586835
57,50,70,0.6571428571428571,0.92,0.7666666666666667,0.9995503503503503,0.6233462642112528
58,50,50,0.66,0.66,0.66,0.9982342342342343,0.5018663915784729
59,50,60,0.48333333333333334,0.58,0.5272727272727273,0.9919647647647647,0.33255386883008137
60,50,0,0.0,0.0,0.0,0.9838792792792793,0.11935281374026156
61,50,106,0.4056603773584906,0.86,0.5512820512820512,0.9980404404404404,0.4199027272420943
62,50,0,0.0,0.0,0.0,0.9975625625625626,0.31133820965698994
63,50,62,0.6129032258064516,0.76,0.6785714285714285,0.9989135135135135,0.5102013206233941
64,50,0,0.0,0.0,0.0,0.9962132132132131,0.39661174043710523
65,50,53,0.6415094339622641,0.68,0.6601941747572816,0.9908058058058059,0.49037920775906346
66,50,0,0.0,0.0,0.0,0.9803413413413413,0.26136292015700596
67,50,129,0.2713178294573643,0.7,0.39106145251396646,0.9893559559559559,0.23375088681595607
68,50,0,0.0,0.0,0.0,0.9974696696696697,0.26854216839755746
69,50,50,0.96,0.96,0.96,0.999864064064064,0.9324607206746741
70,50,54,0.8703703703703703,0.94,0.9038461538461539,0.9943323323323323,0.8341170075153361
71,50,51,0.9019607843137255,0.92,0.9108910891089109,0.9833315315315316,0.8460325253085175
72,50,73,0.6575342465753424,0.96,0.7804878048780488,0.9996710710710711,0.6424567355957621
73,50,0,0.0,0.0,0.0,0.9869797797797797,0.27663258335328356
74,50,68,0.45588235294117646,0.62,0.5254237288135594,0.9900342342342342,0.39080586499581127
75,50,46,0.9130434782608695,0.84,0.8749999999999999,0.99948008008008,0.8141346580771532
76,50,41,1.0,0.82,0.9010989010989011,0.9999261261261261,0.9189010989010988
77,50,93,0.4946236559139785,0.92,0.6433566433566434,0.9991211211211211,0.5171305528837139
78,50,39,0.9487179487179487,0.74,0.8314606741573033,0.9652406406406406,0.7369812848339876
79,50,42,0.9523809523809523,0.8,0.8695652173913043,0.9874104104104104,0.7947607467135281
80,50,48,0.9166666666666666,0.88,0.8979591836734694,0.9993451451451452,0.8768008510363554
81,50,37,0.9459459459459459,0.7,0.8045977011494254,0.9811817817817818,0.8300635781296368
82,50,79,0.5822784810126582,0.92,0.7131782945736436,0.999733933933934,0.7051695634782384
83,50,46,0.9565217391304348,0.88,0.9166666666666666,0.9804406406406405,0.8611127161065313
84,50,49,0.9591836734693877,0.94,0.9494949494949495,0.9871175175175175,0.9038435450609021
85,50,49,0.8979591836734694,0.88,0.888888888888889,0.991718118118118,0.8756109214734742
86,50,46,0.8913043478260869,0.82,0.8541666666666666,0.9994634634634635,0.8425912404427169
87,50,53,0.9056603773584906,0.96,0.9320388349514563,0.9997113113113113,0.8795949632214374
88,50,49,0.9795918367346939,0.96,0.9696969696969697,0.9999465465465465,0.9583159509445002
89,50,46,0.9782608695652174,0.9,0.9375,0.990649049049049,0.9056929593993167
90,50,50,0.98,0.98,0.98,0.9999801801801802,0.9705010101010101
91,50,53,0.9056603773584906,0.96,0.9320388349514563,0.9811327327327327,0.93366948232632
92,50,50,0.96,0.96,0.96,0.9999575575575577,0.9404679245283019
93,50,0,0.0,0.0,0.0,0.998298898898899,0.3684544095752695
94,50,43,1.0,0.86,0.924731182795699,0.9831967967967967,0.9031812361310727
95,50,56,0.8571428571428571,0.96,0.9056603773584904,0.9998386386386386,0.8361346839405268
96,50,81,0.5555555555555556,0.9,0.6870229007633587,0.9993793793793794,0.529410712687867
97,50,33,0.9393939393939394,0.62,0.7469879518072288,0.9996724724724724,0.7729395753000463
98,50,55,0.7636363636363637,0.84,0.8000000000000002,0.9998386386386386,0.8144313725490196
99,50,48,0.8541666666666666,0.82,0.836734693877551,0.9990292292292292,0.8132145601237288
100,50,49,1.0,0.98,0.98989898989899,0.999976976976977,0.9884745762711864
101,50,59,0.5932203389830508,0.7,0.6422018348623852,0.999558958958959,0.5456605619801745
102,50,51,0.9607843137254902,0.98,0.9702970297029702,0.9999713713713714,0.9523213156230234
103,50,104,0.4519230769230769,0.94,0.6103896103896104,0.9992166166166166,0.709182557075688
104,50,93,0.4946236559139785,0.92,0.6433566433566434,0.998150950950951,0.757302822980504
105,50,74,0.6081081081081081,0.9,0.7258064516129032,0.9857727727727728,0.5652824058137426
106,50,0,0.0,0.0,0.0,0.9977593593593594,0.294130007577637
107,50,41,0.975609756097561,0.8,0.8791208791208791,0.9827653653653654,0.8077644247306246
108,50,44,0.8863636363636364,0.78,0.8297872340425532,0.9922208208208209,0.746079464595657
109,50,64,0.671875,0.86,0.7543859649122807,0.9994196196196196,0.6183944724284199
110,50,0,0.0,0.0,0.0,0.9991891891891892,0.4364049883931591
111,50,47,0.9361702127659575,0.88,0.9072164948453608,0.98481001001001,0.8454492174135707
112,50,52,0.8076923076923077,0.84,0.8235294117647058,0.9827965965965966,0.6973425078277065
113,50,49,0.8979591836734694,0.88,0.888888888888889,0.9995683683683683,0.8227072339220531
114,50,40,0.975,0.78,0.8666666666666667,0.9824140140140141,0.8010385128856847
115,50,95,0.43157894736842106,0.82,0.5655172413793104,0.9990588588588589,0.39803510413105236
116,50,91,0.46153846153846156,0.84,0.5957446808510639,0.9990972972972972,0.694181088940774
117,50,42,0.9523809523809523,0.8,0.8695652173913043,0.9638358358358358,0.8082576912706864
118,50,51,0.5294117647058824,0.54,0.5346534653465347,0.9994144144144145,0.4766479526283448
119,50,0,0.0,0.0,0.0,0.9904694694694695,0.42039538190360726
120,50,72,0.4166666666666667,0.6,0.49180327868852464,0.9982860860860862,0.3376617280167858
121,50,85,0.2823529411764706,0.48,0.3555555555555555,0.998543943943944,0.36492478663897443
122,50,36,0.9166666666666666,0.66,0.7674418604651163,0.998995995995996,0.7457590895393685
123,50,71,0.49295774647887325,0.7,0.5785123966942148,0.9810940940940941,0.42040324271362384
124,50,26,0.3076923076923077,0.16,0.2105263157894737,0.9600928928928929,0.2762212088085795
125,50,46,0.8695652173913043,0.8,0.8333333333333333,0.9857355355355355,0.7504587398381621
126,50,39,0.8205128205128205,0.64,0.7191011235955057,0.9811061061061062,0.596263608196808
127,50,73,0.6164383561643836,0.9,0.7317073170731706,0.9975699699699699,0.6426287361681547
128,50,39,0.7948717948717948,0.62,0.6966292134831461,0.9992518518518518,0.6450051365217104
129,50,0,0.0,0.0,0.0,0.998631031031031,0.32823661599295256
130,50,83,0.6024096385542169,1.0,0.7518796992481204,0.9996696696696697,0.6024096385542169
131,50,50,0.9,0.9,0.9,0.9911993993993994,0.8352258768016813
132,50,65,0.7230769230769231,0.94,0.8173913043478259,0.9997063063063063,0.6968931139407329
133,50,0,0.0,0.0,0.0,0.9955509509509509,0.4076818734226489
134,50,37,0.9459459459459459,0.7,0.8045977011494254,0.9759909909909908,0.751093214107255
135,50,91,0.5274725274725275,0.96,0.6808510638297873,0.9826282282282283,0.511933970096803
136,50,51,0.9607843137254902,0.98,0.9702970297029702,0.9998956956956957,0.9451273463121903
137,50,87,0.5287356321839081,0.92,0.6715328467153285,0.9997145145145145,0.8047267113323454
138,50,44,0.9545454545454546,0.84,0.8936170212765958,0.9818538538538539,0.8404193622636834
139,50,98,0.4897959183673469,0.96,0.6486486486486486,0.9986018018018017,0.477396730100086
140,50,0,0.0,0.0,0.0,0.9992740740740741,0.4369079178062978
141,50,96,0.46875,0.9,0.6164383561643836,0.9991717717717717,0.44243922378858747
142,50,0,0.0,0.0,0.0,0.999337937937938,0.4598548926868429
143,50,48,0.9375,0.9,0.9183673469387755,0.9995959959959961,0.8860758571508474
144,50,50,0.98,0.98,0.98,0.9999805805805806,0.9707092783505153
145,50,49,1.0,0.98,0.98989898989899,0.9935395395395397,0.9800616903146205
146,50,47,1.0,0.94,0.9690721649484536,0.9994626626626626,0.9511235486373093
147,50,56,0.875,0.98,0.9245283018867924,0.9899327327327327,0.8467064850946352
148,50,47,1.0,0.94,0.9690721649484536,0.9940624624624624,0.9591816591883849
149,50,46,0.9782608695652174,0.9,0.9375,0.9995961961961961,0.9081326785074104
150,50,56,0.8392857142857143,0.94,0.8867924528301886,0.9990716716716717,0.7941193481220257
151,50,59,0.01694915254237288,0.02,0.01834862385321101,0.9886026026026026,0.0764147090836923
152,50,0,0.0,0.0,0.0,0.9643045045045046,0.2606797584377495
153,50,0,0.0,0.0,0.0,0.9883941941941943,0.0852945404674944
154,50,0,0.0,0.0,0.0,0.9764296296296296,0.1351590582460053
155,50,0,0.0,0.0,0.0,0.9925097097097098,0.08623434424896952
156,50,79,0.1518987341772152,0.24,0.18604651162790697,0.9888266266266267,0.09837211013626002
157,50,56,0.30357142857142855,0.34,0.32075471698113206,0.989750950950951,0.16191256492931477
158,50,0,0.0,0.0,0.0,0.9574118118118118,0.13995888050046712
159,50,94,0.05319148936170213,0.1,0.06944444444444446,0.9845881881881882,0.07132163280249768
160,50,94,0.2553191489361702,0.48,0.3333333333333333,0.9938698698698698,0.2877536639252016
161,50,0,0.0,0.0,0.0,0.9916458458458459,0.22000230780627741
162,50,98,0.3163265306122449,0.62,0.41891891891891897,0.9929977977977977,0.2311028609046386
163,50,35,0.34285714285714286,0.24,0.2823529411764706,0.9676764764764765,0.14230041242847224
164,50,57,0.21052631578947367,0.24,0.22429906542056072,0.9869247247247247,0.09906687501574962
165,50,0,0.0,0.0,0.0,0.9810404404404404,0.04692379583076892
166,50,0,0.0,0.0,0.0,0.9920574574574574,0.17802010018621145
